[2024-03-04 20:03:02,574: INFO: main: hello world]
[2024-03-07 09:59:01,673: INFO: main: hello world]
[2024-03-07 09:59:37,709: INFO: main: hello world]
[2024-03-07 12:55:17,925: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-07 12:55:17,930: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-07 12:55:17,932: INFO: common: created directory at: artifacts]
[2024-03-07 12:55:57,319: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-07 12:55:57,321: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-07 12:55:57,325: INFO: common: created directory at: artifacts]
[2024-03-07 12:55:57,640: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-07 12:57:30,629: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-07 12:57:30,633: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-07 12:57:30,635: INFO: common: created directory at: artifacts]
[2024-03-07 12:57:30,637: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-07 12:58:14,492: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-07 12:58:14,494: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-07 12:58:14,496: INFO: common: created directory at: artifacts]
[2024-03-07 12:58:14,497: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-07 13:03:56,167: INFO: 2813064552: Downloaded data from https://drive.google.com/file/d/16CDhrUVvI7epz0J0T2vHvo-onUgnZSPA/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-07 13:19:04,131: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2024-03-07 13:19:04,133: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-07 13:19:04,133: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-07 13:19:04,133: INFO: common: created directory at: artifacts]
[2024-03-07 13:19:04,134: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-07 13:27:55,005: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/16CDhrUVvI7epz0J0T2vHvo-onUgnZSPA/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-07 13:28:09,088: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<<
nx=======x]
[2024-03-07 23:52:31,872: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2024-03-07 23:52:31,874: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-07 23:52:31,875: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-07 23:52:31,875: INFO: common: created directory at: artifacts]
[2024-03-07 23:52:31,876: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-07 23:52:57,217: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2024-03-07 23:52:57,218: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-07 23:52:57,219: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-07 23:52:57,219: INFO: common: created directory at: artifacts]
[2024-03-07 23:52:57,220: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-08 00:00:37,478: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/16CDhrUVvI7epz0J0T2vHvo-onUgnZSPA/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-08 00:00:57,886: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<<
nx=======x]
